City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ranchettes,41.2186,-104.7903,275.96,72,100,2.06,US,1706070038
1,lompoc,34.6391,-120.4579,287.05,86,0,4.92,US,1706070016
2,bredasdorp,-34.5322,20.0403,291.12,85,22,5.84,ZA,1706070038
3,wailua homesteads,22.0669,-159.378,298.39,78,75,8.23,US,1706070038
4,lame,10.4415,9.2396,289.29,17,6,0.6,NG,1706070039
5,puerto natales,-51.7236,-72.4875,281.21,69,100,2.35,CL,1706070039
6,balnearia,-31.0088,-62.6673,292.27,61,0,3.43,AR,1706070039
7,yanchep,-31.55,115.6833,304.27,44,1,7.82,AU,1706070039
8,hithadhoo,-0.6,73.0833,301.82,75,77,5.55,MV,1706070039
9,isafjordur,66.0755,-23.124,273.46,90,100,5.17,IS,1706070039
10,hawaiian paradise park,19.5933,-154.9731,297.88,82,0,4.12,US,1706070039
11,opuwo,-18.0607,13.84,296.22,45,100,2.21,NA,1706070040
12,kununurra,-15.7667,128.7333,306.14,62,40,3.09,AU,1706070040
13,machico,32.7,-16.7667,293.22,69,20,3.09,PT,1706070040
14,acarau,-2.8856,-40.12,299.16,82,12,3.95,BR,1706070040
15,prineville,44.2999,-120.8345,277.8,81,0,0.89,US,1706070040
16,greymouth,-42.4667,171.2,288.39,53,24,4.39,NZ,1706070040
17,tazacorte,28.629,-17.9293,292.12,50,0,3.09,ES,1706070040
18,port-aux-francais,-49.35,70.2167,281.58,99,100,11.29,TF,1706070041
19,olonkinbyen,70.9221,-8.7187,270.96,69,99,1.71,SJ,1706070041
20,tame,6.461,-71.73,299.07,44,23,2.22,CO,1706070041
21,albany,42.6001,-73.9662,273.51,89,100,1.2,US,1706069933
22,iqaluit,63.7506,-68.5145,242.0,62,20,5.14,CA,1706070041
23,achinsk,56.2694,90.4993,255.21,83,100,2.23,RU,1706070041
24,blackmans bay,-43.0167,147.3167,297.33,52,29,4.86,AU,1706070041
25,olinda,-8.0089,-34.8553,300.0,83,20,2.06,BR,1706070041
26,chernyshevskiy,63.0128,112.4714,256.96,93,52,3.47,RU,1706070042
27,luderitz,-26.6481,15.1594,294.59,53,96,3.47,NA,1706070042
28,ushuaia,-54.8,-68.3,280.96,66,20,11.32,AR,1706070042
29,waitangi,-43.9535,-176.5597,289.72,72,49,6.67,NZ,1706070042
30,adamstown,-25.066,-130.1015,297.62,73,87,1.43,PN,1706070042
31,jamestown,42.097,-79.2353,277.92,100,100,3.09,US,1706069768
32,saint-pierre,-21.3393,55.4781,299.97,100,75,6.69,RE,1706070043
33,peterhead,57.5058,-1.7981,282.37,70,74,14.09,GB,1706070043
34,ketchikan,55.3422,-131.6461,279.41,87,100,4.63,US,1706070043
35,el calafate,-50.3408,-72.2768,284.17,69,75,3.53,AR,1706070043
36,forster,-32.1667,152.5167,300.53,65,1,7.76,AU,1706070043
37,bilibino,68.0546,166.4372,234.91,98,43,1.54,RU,1706070043
38,iskateley,67.6803,53.1512,267.05,95,100,4.92,RU,1706070043
39,grytviken,-54.2811,-36.5092,273.98,79,45,4.91,GS,1706070043
40,la passe,45.5549,-0.8967,286.28,93,100,5.68,FR,1706070044
41,necochea,-38.5473,-58.7368,293.98,41,0,7.41,AR,1706070044
42,arkhangel'sk,64.5401,40.5433,275.21,93,100,5.0,RU,1706070044
43,keflavik,64.0049,-22.5624,275.1,93,75,10.8,IS,1706070044
44,fort st. john,56.2499,-120.8529,256.09,78,75,2.06,CA,1706070044
45,flying fish cove,-10.4217,105.6791,302.97,70,100,3.6,CX,1706070044
46,saint-philippe,-21.3585,55.7679,299.92,92,100,5.16,RE,1706070045
47,illizi,26.4833,8.4667,278.04,53,0,2.11,DZ,1706070045
48,taroa,8.7058,171.2275,300.24,80,90,9.47,MH,1706070045
49,port elizabeth,-33.918,25.5701,290.98,90,0,3.6,ZA,1706070045
50,bethel,41.3712,-73.414,275.35,83,100,0.0,US,1706070045
51,hamilton,39.1834,-84.5333,280.86,96,100,1.54,US,1706069930
52,zheleznodorozhnyy,55.7503,38.0042,270.57,95,100,4.02,RU,1706070045
53,chonchi,-42.6128,-73.8092,286.1,94,4,0.93,CL,1706070045
54,kajuru,10.3192,7.6892,289.35,17,23,2.7,NG,1706070046
55,talnakh,69.4865,88.3972,253.82,98,100,2.9,RU,1706070046
56,covington,39.0837,-84.5086,281.13,96,100,1.54,US,1706070046
57,saint-francois,46.4154,3.9054,285.18,77,100,2.06,FR,1706070046
58,aitape,-3.1374,142.3475,301.14,79,100,3.01,PG,1706070046
59,taoudenni,22.6783,-3.9836,288.27,36,75,10.31,ML,1706070046
60,college,64.8569,-147.8028,240.62,61,75,0.0,US,1706070046
61,almodovar del campo,38.7094,-4.1791,278.42,78,0,1.49,ES,1706070046
62,ta`u,-14.2336,-169.5144,302.13,77,96,5.2,AS,1706070047
63,recco,44.3623,9.1435,284.15,89,69,1.6,IT,1706070047
64,imam qasim,32.298,44.6828,286.18,54,12,4.19,IQ,1706070047
65,al ghayzah,16.2079,52.176,293.72,45,7,2.05,YE,1706070047
66,simplicio mendes,-7.8539,-41.9103,296.38,89,91,1.14,BR,1706070047
67,yellowknife,62.456,-114.3525,238.46,66,18,2.24,CA,1706070047
68,edinburgh of the seven seas,-37.0676,-12.3116,292.06,96,97,7.75,SH,1706070047
69,troitskoye,52.9821,84.6757,257.71,96,99,2.2,RU,1706070047
70,margaret river,-33.95,115.0667,294.98,59,32,6.71,AU,1706070048
71,biloela,-24.4167,150.5,309.53,29,61,6.92,AU,1706070048
72,jose panganiban,14.2906,122.6917,297.9,91,84,7.03,PH,1706070048
73,vernon,50.2581,-119.2691,278.87,93,99,0.51,CA,1706070048
74,hillvue,-31.1244,150.915,307.1,38,2,2.06,AU,1706070048
75,prince rupert,54.3161,-130.3201,279.98,87,100,10.29,CA,1706070048
76,vilyuchinsk,52.9306,158.4028,269.3,95,100,0.89,RU,1706070048
77,sao joao da barra,-21.6403,-41.0511,294.46,97,100,6.96,BR,1706070048
